"units","year","gwp","F-gases","N2O","CH4","CO2-LULUCF","CO2-FFI"
"GtCO2e",1854,1,8.19117916873236e-05,NA,NA,NA,NA
"GtCO2e",1855,1,8.19319603631231e-05,NA,NA,NA,NA
"GtCO2e",1856,1,8.19540411009776e-05,NA,NA,NA,NA
"GtCO2e",1857,1,8.19780325076539e-05,NA,NA,NA,NA
"GtCO2e",1858,1,8.20039351499207e-05,NA,NA,NA,NA
"GtCO2e",1859,1,8.20317496795921e-05,NA,NA,NA,NA
"GtCO2e",1860,1,8.20614762733312e-05,NA,NA,NA,NA
"GtCO2e",1861,1,8.78493969177276e-05,NA,NA,NA,NA
"GtCO2e",1862,1,8.78830625933666e-05,NA,NA,NA,NA
"GtCO2e",1863,1,8.21623583711745e-05,NA,NA,NA,NA
"GtCO2e",1864,1,8.21997381944631e-05,NA,NA,NA,NA
"GtCO2e",1865,1,8.22390242145963e-05,NA,NA,NA,NA
"GtCO2e",1866,1,8.80365075292969e-05,NA,NA,NA,NA
"GtCO2e",1867,1,8.80797398551277e-05,NA,NA,NA,NA
"GtCO2e",1868,1,8.23685986724975e-05,NA,NA,NA,NA
"GtCO2e",1869,1,8.24155462969582e-05,NA,NA,NA,NA
"GtCO2e",1870,1,8.82206828679341e-05,NA,NA,NA,NA
"GtCO2e",1871,1,8.82715692254706e-05,NA,NA,NA,NA
"GtCO2e",1872,1,8.25680904222778e-05,NA,NA,NA,NA
"GtCO2e",1873,1,8.8378967049625e-05,NA,NA,NA,NA
"GtCO2e",1874,1,8.84355940293905e-05,NA,NA,NA,NA
"GtCO2e",1875,1,8.84941374548475e-05,NA,NA,NA,NA
"GtCO2e",1876,1,8.85545975314139e-05,NA,NA,NA,NA
"GtCO2e",1877,1,8.86169668560689e-05,NA,NA,NA,NA
"GtCO2e",1878,1,8.86812532124246e-05,NA,NA,NA,NA
"GtCO2e",1879,1,8.87474643639224e-05,NA,NA,NA,NA
"GtCO2e",1880,1,8.88155853334803e-05,NA,NA,NA,NA
"GtCO2e",1881,1,8.88856163231794e-05,NA,NA,NA,NA
"GtCO2e",1882,1,9.47138385555133e-05,NA,NA,NA,NA
"GtCO2e",1883,1,9.47878204361631e-05,NA,NA,NA,NA
"GtCO2e",1884,1,8.91075001222814e-05,NA,NA,NA,NA
"GtCO2e",1885,1,8.91851882505161e-05,NA,NA,NA,NA
"GtCO2e",1886,1,9.50210608002741e-05,NA,NA,NA,NA
"GtCO2e",1887,1,9.51026710090816e-05,NA,NA,NA,NA
"GtCO2e",1888,1,9.51862608170958e-05,NA,NA,NA,NA
"GtCO2e",1889,1,9.52717545882984e-05,NA,NA,NA,NA
"GtCO2e",1890,1,9.53642322653891e-05,NA,NA,NA,NA
"GtCO2e",1891,1,9.54957306332704e-05,NA,NA,NA,NA
"GtCO2e",1892,1,9.56418706096703e-05,NA,NA,NA,NA
"GtCO2e",1893,1,9.57780473874225e-05,NA,NA,NA,NA
"GtCO2e",1894,1,0.000101680442892783,NA,NA,NA,NA
"GtCO2e",1895,1,0.00010182992524655,NA,NA,NA,NA
"GtCO2e",1896,1,9.62263800350357e-05,NA,NA,NA,NA
"GtCO2e",1897,1,0.000102138615332994,NA,NA,NA,NA
"GtCO2e",1898,1,0.000102297865772251,NA,NA,NA,NA
"GtCO2e",1899,1,0.000102460448076657,NA,NA,NA,NA
"GtCO2e",1900,1,0.00010305475516612,NA,NA,NA,NA
"GtCO2e",1901,1,0.000255164591090952,NA,NA,NA,NA
"GtCO2e",1902,1,0.000437853958378499,NA,NA,NA,NA
"GtCO2e",1903,1,0.000474194471076952,NA,NA,NA,NA
"GtCO2e",1904,1,0.000530701341275973,NA,NA,NA,NA
"GtCO2e",1905,1,0.000660991889170849,NA,NA,NA,NA
