"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"N2O","afg","brown_coal","ktN2O",0,0,8.52836005529532e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84144733971518e-05,4.31325044605494e-05,9.14761568710704e-06,1.26941627946678e-05,1.37822338913536e-05,1.47878753595026e-05,1.42146036867525e-05,1.22160709491543e-05,8.35565145978132e-06,1.45324564283378e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","afg","coal_coke","ktN2O",6.15424255006677e-06,1.10207169635073e-05,3.84037787509182e-06,7.36157661759354e-08,1.32938904148236e-06,7.86349818680487e-08,7.99303764397865e-08,1.45561682377775e-07,1.66038523446028e-07,9.51221862147346e-08,7.75933466613746e-08,8.97177092920043e-08,1.03668320132464e-07,9.81973262418471e-08,8.72052692938184e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","afg","diesel_oil","ktN2O",0.00132259564446359,0.00160070831159235,0.00112361819013104,0.00115722315548172,0.00184152022239284,0.00185747077174496,0.00150950397136014,0.00189208116669836,0.00193827187771006,0.00255992175951371,0.00188312281946956,0.002266455507635,0.00220378213869166,0.0029377060012887,0.00329061263403812,0.00501468957767447,0.00363958075808185,0.00620355655840098,0.00608082886033365,0.00540153828284753,0.00495268155275463,0.00463259738926154,0.00281827164246542,0.00242959775527522,0.00226461521866822,0.00214396795895752,0.00211061864933704,0.00204722404502446,0.00179441645709127,0.00144089671628688,0.00171438004325107,0.00121842275284804,0.00103362113245731,0.00153024235271003,0.00214110831524443,0.00282538971108239,0.00442674393226365,0.0041744565927833,0.012288682541329,0.0239099925730772,0.030183110166501,0.0335330394792362,0.0373559664062164,0.0269337707265864,0.0274495712343775,0.0277476406309989,0.0289114694534628,0.0285270557163485,0.0304890429918532,0.032915747184124,0.0281966918416593,0.0324504818599058,0.0328698053071174
"N2O","afg","hard_coal","ktN2O",0.000353940877696977,0.000123490151204475,4.99089928542609e-05,0.000124616473086425,8.72387539882154e-05,0.000192634266931013,0.000179848247311188,0.000149831181457568,0.000216906696928533,8.8796387040291e-05,8.58361669521515e-05,0.000102825237135741,0.000104359189726396,0.00010743744346785,0.00010330896325446,0.000597333549510048,0.00063798528764132,0.000676787327879921,0.000507877551837384,0.000463593529435725,0.00074047245888584,0.000689337590339069,2.1518003523498e-05,2.81668738796952e-05,1.7303197243093e-05,1.5541857306341e-05,7.44893393437427e-06,2.82574699672793e-06,3.13495832650379e-06,2.58312418578723e-06,9.76486264356237e-06,0.000216868999365387,0.000157322940044423,0.000330950498006431,0.0003395312778627,0.000427016666207713,0.000709635614448448,0.00413658842088363,0.00496719451029403,0.00964969759928284,0.0146427618440194,0.035272298206392,0.0268067277422841,0.029708759886925,0.0339072984249119,0.0303388464832203,0.0374679392169896,0.0441850786828719,0.047285405349721,0.0495514593355085,0.0482546536015231,0.0467410638973473,0.0462701311172815
"N2O","afg","heavy_oil","ktN2O",0.00158500427347814,0.00151995786453935,0.00131625622969466,0.00189290006037558,0.00258352933301208,0.00225007124023683,0.00231443615175062,0.00156215733958177,0.00166795076950744,0.00183951230833949,0.00169894249623497,0.00144619280300605,0.00149673342665327,0.00163275203947338,0.00189010133140921,0.00154818352486975,0.0010468267961674,0.00177234527400134,0.00164037826620823,0.00165545813984083,0.00189272995937154,0.00181752745080476,0.00106119209796324,0.00106745446627711,0.00116758689853791,0.00104813549174009,0.000946775694312077,0.000813451613795784,0.000841019880688941,0.000677297603781003,0.000763119133221203,0.000514030114916998,0.00041827910628103,0.000768801441822913,0.000919920582064209,0.00133250181746657,0.00202349728008736,0.00244948736679713,0.00579771505100166,0.00927305049003769,0.0080105216617,0.0103268385826887,0.0112902696053777,0.0106293149111388,0.00990175574263029,0.0106904108015371,0.011087579975495,0.0102401861434749,0.0111721217749908,0.0104761719749035,0.00904317851332201,0.00877469433395648,0.00920923204567551
"N2O","afg","light_oil","ktN2O",0.0119918111667474,0.0143381830117059,0.0122323880567749,0.01096695767775,0.0110029542714114,0.0128529623029477,0.0128195458408344,0.014668804710751,0.0155810822351704,0.0193237373542056,0.0150102680937002,0.0158164340414862,0.0165190701629169,0.0199398615465881,0.0223037391917018,0.0215749093508431,0.0138247559295136,0.0265843830026999,0.0239639029612475,0.0251353942141055,0.0276646925982198,0.0275596361596617,0.0164773844659369,0.016080262757896,0.0149412426998518,0.0142354106793688,0.0142090331140977,0.0117994234046748,0.0111326316026907,0.010755026742709,0.0124176598615,0.0110158368817087,0.00836677950260073,0.0107547689951657,0.00945561195762817,0.0148662295519312,0.0206721092885922,0.0222429446312836,0.0671890254878571,0.129381580522918,0.182629408203445,0.214724098737513,0.197763221740557,0.124064349884509,0.0926171569413587,0.111171124934107,0.0836701279214277,0.0947482677990116,0.109410394083329,0.11488495266992,0.122136895106653,0.126928788636235,0.124647096302318
"N2O","afg","natural_gas","ktN2O",0.000508065904101226,0.000814196913195575,0.000554131919514407,0.00061846423621242,0.000742132768438457,0.000880244340924463,0.000554854071527404,0.000944364813538597,0.000554854071527404,0.000713727514387127,0.000382324177202093,0.000593222046458223,0.000758865664439808,0.00116444428874022,0.00174297832015384,0.00222624907339275,0.00223981890509697,0.000746347754674456,0.00082163027740944,0.000899773751356055,0.000212744018077219,0.000209889337496518,0.00020408218727953,0.000205165036425832,0.000246945467239635,0.000377147120706685,0.000423392194064315,0.000439598824521156,0.000604404960488177,0.000567424962692655,0.000485023758610352,0.000704498881074477,0.00117084982906771,0.00165149605622314,0.00117503128727139,0.00169430270310278,0.00164994652110184,0.00255188120756765,0.00352022423910455,0.00347542205735304,0.00374125407003621,0.00407717483777154,0.00236141675275452,0.00217515154892052,0.00316177910601006,0.00257535552931682,0.00322631052418905,0.00537688491751028,0.00354047854473098,0.0038590134783541,0.00448018135155963,0.00347751601978244,0.00325947328481683
"N2O","afg","process","ktN2O",11.3044148317937,11.197126753171,8.30430391149352,9.33115920301635,10.2501019667514,11.1909619874281,11.5249246886814,11.3903808424148,11.1453563429555,10.8452500103088,11.026087098713,10.963466604441,11.1837770687801,10.5038720164082,9.94049410745307,9.19787133645817,7.75233388833865,8.40445788784988,8.90711942850228,8.9006045950527,8.80973644338714,9.08040900750783,8.97344235497296,8.98468416584784,8.39101181164769,8.82546876855123,9.60270652720074,10.5700063495275,11.4503378160833,12.5482018774233,11.147299993072,9.84520784375545,11.109304192929,11.3049143005225,11.5204144153334,11.6235256041534,11.2934417097755,10.8249049135607,12.2614382280991,12.6853178446422,14.2594770552799,15.0202857448109,14.7023024486669,14.8085946072332,15.7910363657732,15.0704739368072,15.0690484724772,16.8767152776289,15.1095037995255,14.5847543413793,15.1249558669648,15.1521960373559,15.1758866791007
"N2O","ago","biomass","ktN2O",0.341813454108119,0.352469698482999,0.354382358764741,0.357072002471296,0.360743111117665,0.365411999266158,0.370534570980728,0.376785968223303,0.383918506697514,0.391211903581153,0.398379572764751,0.405143875369863,0.412023607734434,0.418959266499197,0.426063232032747,0.433423230348829,0.440832815812473,0.448842817942025,0.457624534158613,0.467415819883385,0.47838177793597,0.489541954548197,0.500997629511861,0.511272238302734,0.521479253831827,0.525950442416707,0.530489523237385,0.532934384879586,0.536528147430656,0.541307884091734,0.54426568621732,0.549157778262254,0.555913687110624,0.561264017158038,0.566822463274272,0.572545555557368,0.585283219217649,0.59703566284316,0.608739707142403,0.620286091325582,0.632574692929237,0.644527144955887,0.64646338925914,0.660142830542288,0.671968668880134,0.683384832903877,0.694692602380713,0.705932405036528,0.716807093864786,0.727302200624118,0.737071396748082,0.74622397663213,0.74622397663213
"N2O","ago","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
