"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","kaz","light_oil","ktCH4",6.94267712945263,7.84797188073193,8.1810423053784,8.45166202540365,8.80554935159048,8.83677470390109,9.07096484623064,9.23229583316875,9.43005639780259,9.67985921628743,10.1274225994061,10.1586479517167,10.1170141486359,10.0340641879517,10.075831144325,10.0009299761405,9.18727131732361,9.03115423624393,9.3545138532618,9.62077222108882,9.84847310326539,10.4649648979855,10.2322413757722,9.70003679336951,7.66327754174936,7.85049212343253,7.82702394281899,6.5222765785252,6.36295037387086,4.40250544024191,7.30502874199663,6.71149432295531,7.5934499216696,7.0307661396601,7.91173334509878,8.18512296970529,8.9448939152448,9.90439680879302,11.5894412985739,10.0307782920393,10.0837940192322,10.3005145135586,10.5290075333462,10.3253951827994,10.0550260751667,10.8561499529694,11.4888747045951,10.9955540629575,11.5126363986465,11.4217899718152,11.564323309705,12.441181676192,12.6899148829505
"CH4","kaz","natural_gas","ktCH4",17.9654203897287,18.1955713851432,18.9233927238545,19.4527143176729,20.5113717243193,21.9511673154596,22.7565486122762,23.8806727092997,25.1539968748391,26.5214129670655,28.6212028509343,30.5285100008372,32.7114242152639,35.20814349964,38.1250189146004,41.1082010456104,56.2764490182391,55.7746209636402,58.4342351302011,62.7755690221786,71.5869455944304,84.6434525338596,88.7702583918138,83.4344083753199,64.287225058569,68.7085212420298,59.7776433942578,42.9427162624093,33.1337197378576,31.9681033925967,15.146653114511,9.79476116522252,9.74233466758706,11.1167953202205,11.8872010325385,13.4554826633184,15.0075301323841,18.3827046864644,20.8475156143043,19.8204928728759,21.4781150900385,30.6166357708085,39.0444560445874,44.360289007458,51.4533249486842,45.4410999300975,45.1958754642328,41.5003181025336,34.3810954927616,157.309489998692,106.117590862632,165.240142133815,144.598321610124
"CH4","kaz","process","ktCH4",4452.29209681622,4463.30155314438,4467.19838727257,4474.916674686,4488.23531095781,4506.18406658658,4517.79067457537,4423.71352658864,4362.24281683282,4253.71717338839,4085.11515714542,3877.04035258796,3801.67906535098,3649.09377962052,3770.01969980527,3440.86697394388,3428.21122122728,3376.03039305166,3300.21061666247,3303.7159106843,3196.00457423525,3070.84663619363,2943.59565427507,2697.73611086811,2285.03391548378,1965.69745730806,1854.99124031373,1757.55302538339,1622.79674522623,1590.70033111463,1789.68301728968,1879.65310856686,1972.86550093938,2100.20187452008,2235.09944222173,2237.97309579887,2333.65535746147,2335.77862490519,2418.2607397217,2400.72638946144,2437.01346510558,2408.02810100068,2306.06193217563,2252.18714301804,2168.39454209932,1904.68621940601,1897.23751070367,2075.84777868735,2173.02859310139,2167.31953327195,2177.75223204643,2090.98431428756,2101.5055201563
"CH4","ken","biomass","ktCH4",31.9148396285906,32.9285260405668,33.9745621410384,35.057211120002,36.1767568121703,37.3359375817994,38.5287373652603,39.7586755353048,41.0212820139829,42.3253476055215,43.9091486128636,45.5425518910358,47.2402849550687,49.1627523550853,50.9996176868322,52.9325362927695,54.8920567723122,56.8496661436399,58.863009751881,60.8886443866423,62.8078564312981,64.7095634095059,66.6158010298401,68.7433520045427,70.8492888621051,73.0093891062141,75.1734790069942,77.3284558525156,79.5385065983462,81.7102955436501,83.9698988101341,86.2582086321416,88.6227106903694,91.0231721858085,93.5516009979044,96.1652892044155,98.8501931266642,101.633637715728,104.469528595949,107.435008626342,110.398473943723,113.394287038172,116.460525561065,119.562201374095,122.660258921576,125.087263531448,127.470291971679,129.767221157821,132.034286484147,133.569618475889,135.122054353783,137.290773650084,137.290390972696
"CH4","ken","brown_coal","ktCH4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","ken","coal_coke","ktCH4",0.00105268328459867,0.00106552088563036,0.00106552088563036,0.00106552088563036,0.00106552088563036,0.00213104177126072,0,0.00106552088563036,0.00213104177126072,0,0.00106552088563036,0,0.00106552088563036,0.00106552088563036,0.00213104177126072,0.00106552088563036,0.00106552088563036,0,0,0,0,0.000848227263058277,0.000848983670336533,0.00085255893371674,0.000856329271085987,0.000860334057982203,0.000865262349078831,0.000870555173328983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CH4","ken","diesel_oil","ktCH4",0.0404418459885681,0.0503104156883598,0.0557492923851607,0.060841120496522,0.0586832641481623,0.0589848808875144,0.0717994486933373,0.0766245636271663,0.0769289576704224,0.0825205633171346,0.101285566716967,0.0940445794869145,0.0957663279796078,0.100231872775449,0.110518615865783,0.117319098007127,0.126465622667235,0.134705056967333,0.127391666985782,0.129916117759533,0.144945496520492,0.15427874031628,0.149991423347101,0.140802228299428,0.141795133382444,0.154773834915795,0.163569004241199,0.15711744078816,0.1736112788406,0.155916592028542,0.17462958373246,0.165830609009473,0.175367288793259,0.158762935505703,0.190578250760622,0.20778788391673,0.235290320847362,0.242801787164746,0.249468634718712,0.324143963510116,0.355663999280493,0.337010044778643,0.341754117110077,0.395702765320609,0.425356198722731,0.506451106932321,0.549732740989096,0.526473048053105,0.582839785049666,0.646987789277063,0.62430303893297,0.643445991479379,0.650870571822736
"CH4","ken","hard_coal","ktCH4",0.0289418505279728,0.0289892740302818,0.016735727772778,0.0297980880297576,0.0279614042718583,0.0188641626320464,0.0261247205139591,0.0261247205139591,0.021284348592684,0.0153828872606696,0.0153828872606696,0.0874901712950583,0.0442258008744251,0.0307657745213392,0.0797987276647235,0.0865287408412664,0.0783731918101936,0.086442563691582,0.108641641278479,0.125947389446732,0.145175998522569,0.153600743238014,0.170805465162016,0.155318488418558,0.150317360507835,0.185278557647734,0.18082739190473,0.196777028546564,0.187707892176138,0.0664289583516416,0.0672043665745757,0.0632650549717193,0.0910803697484869,0.0774634759616328,0.0925437371561834,0.0814066247060812,0.0930818762765653,0.0749444854935594,0.0723998939137294,0.0635411063523059,0.0900192192464892,0.116458713613753,0.0936808320283025,0.120137728202726,0.179039174721851,0.172990561099622,0.169548763330242,0.160169074820384,0.145789173453627,0.124583202176179,0.175655497505219,0.190033297660626,0.196494238741974
"CH4","ken","heavy_oil","ktCH4",0.0672864974645771,0.0889657863214749,0.0968651176429171,0.0954660471414151,0.0929972593232665,0.0901755456953978,0.12414590030628,0.119034164749262,0.106571911106527,0.0983218953233879,0.112884018882726,0.098782171912457,0.0990274305085066,0.0745455666743635,0.0882438947269939,0.0786281868016581,0.106079236493542,0.090052380788245,0.0823722719834232,0.0768885674936194,0.0806572814861473,0.0809270389602516,0.082586601495926,0.0892617268831934,0.0831391500882362,0.0704464851624609,0.0846105229580276,0.0771710506196881,0.0836479969220633,0.0684250676790768,0.0891537741156797,0.0734297097515537,0.0625430894050799,0.0528944862789823,0.058426997274304,0.0757748451434473,0.0918633008899321,0.0910993173351957,0.105166126280423,0.135849260121487,0.123033613758766,0.135576252619406,0.0965081485317974,0.0957050013985989,0.103998394431267,0.0619270541916566,0.0794521181380187,0.103436858548977,0.0700056545021805,0.052832786909319,0.0398126671171532,0.065483171449098,0.0883864257629122
"CH4","ken","light_oil","ktCH4",0.209923503767434,0.252637349428226,0.272733380512475,0.299177025181251,0.288467858764601,0.300298275468923,0.307767139341124,0.345666735709799,0.371606169275331,0.388582022073266,0.386229129461694,0.383077527998509,0.344044856692738,0.328948513298268,0.417603723966337,0.459147077670191,0.525192209215325,0.575744504438293,0.581644345146295,0.652329280536503,0.536591585440561,0.479150323970472,0.459144222055423,0.459065737104293,0.464531059661248,0.522715063716948,0.533145680047397,0.5151896411343,0.517267194528226,0.509382661651425,0.482175253819651,0.483867275473576,0.472873679528688,0.419347584046217,0.419781765785023,0.439410758664558,0.46268969383871,0.477513950691821,0.498824639202905,0.625446926331499,0.798932440455193,0.739768790610332,0.799475242942632,1.00041816675408,1.13790026681884,1.37438856099889,1.41585595320572,1.37099274929236,1.35499665850264,1.33554165933495,1.19502779916453,1.25512252411374,1.24108310870448
