"em","country","sector","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","slv","3E_Enteric-fermentation","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","3I_Agriculture-other","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","5A_Solid-waste-disposal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","5C_Waste-combustion","ktN2O",0.0676196699256556,0.0704804198789581,0.0724611002920439,0.0740092925245937,0.0759758787117108,0.0785511241920445,0.082405456859278,0.0860791172075498,0.0899446994479843,0.0942929735601351,0.098083417423124,0.102709263377661,0.106454427661511,0.110760548100023,0.114104540233799,0.117374616496618,0.118841527862426,0.118254698288862,0.117068952372282,0.115199725017333,0.113496644403121,0.113792619843575,0.113869062249761,0.116086036963337,0.119907095455435,0.123396952825084,0.125330443731146,0.126837973982817,0.127510745343606,0.126718860680116,0.125939574916208,0.125059728448198,0.123750678920347,0.121193060619316,0.117864690279694,0.114068450875372,0.111993892345698,0.110936541148619,0.110072271592405,0.112019170763793,0.115165357003353,0.118249030399966,0.121792607296926,0.125580026869716,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404,0.129842143703404
"N2O","slv","5D_Wastewater-handling","ktN2O",0.10167587925,0.104812314,0.10780530375,0.11308367171775,0.1209343138965,0.12906226257375,0.13491438568425,0.1409099430855,0.14686725136875,0.15254725305525,0.157758702555,0.15954685127775,0.155052573723,0.15309230377275,0.16275021923325,0.16405069101375,0.1627693438905,0.16174617851025,0.167053296,0.17895834675,0.19557870975,0.201525291,0.20134441275,0.2033894865,0.2093429403375,0.211642791075,0.2142967328475,0.2155644408075,0.2208425467425,0.2333026569375,0.24923875881811,0.25086706958306,0.2586994828506,0.26269783154228,0.26133294542454,0.26370218506262,0.26490588920611,0.2687745948888,0.27111650033622,0.27386305127596,0.27352714457026,0.27632980356274,0.27996598874475,0.28800177563652,0.29336732553348,0.30000817056355,0.30154041516773,0.30311495808759,0.30876367727371,0.31039365928194,0.31201468402206,0.3136488557202,0.3160705438307,0.317064641807238
"N2O","slv","5E_Other-waste-handling","ktN2O",0.0012560280841535,0.0013028988031681,0.0013505406531206,0.0013987612601559,0.0014473316196855,0.0014960315236707,0.0015480305887899,0.0016001503314979,0.0016520516596806,0.0017033049365722,0.0017536075931468,0.001803027630998,0.0018514314116677,0.001899204994579,0.0019469588679401,0.0019951787249292,0.0020440421190419,0.0020933639286069,0.0021435000705617,0.0021948981523995,0.0022478106654021,0.0023220691437354,0.0023983847855229,0.0024759063698131,0.0025533767660473,0.0026297728494328,0.0027067710863107,0.0027823853124015,0.0028565419137858,0.0029293218989368,0.0030008305260886,0.0030484866104268,0.0030944283545577,0.003139061490994,0.0031829357732919,0.0032265259069719,0.003281259745953,0.0033360719916842,0.0033911410362545,0.0034466542523424,0.0035027341336208,0.0035642721348342,0.003762,0.003762,0.0038275280688442,0.0038940562771727,0.00395599676636,0.0040189254450414,0.0040826613401645,0.0041469334944185,0.0042115334131322,0.0042750288403241,0.004339481559998,0.00435312999994984
"N2O","slv","6A_Other-in-total","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","6B_Other-not-in-total","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","7A_Fossil-fuel-fires","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","slv","7BC_Indirect-N2O-non-agricultural-N","ktN2O",0.16061600095834,0.160444742568545,0.170935899062737,0.178321312818085,0.184898247984973,0.19836709077202,0.20283754364795,0.21218067203547,0.21983108616817,0.2193782754135,0.19259083046733,0.190483968769364,0.194388234477043,0.198714663616714,0.203278471836592,0.21050761838588,0.186977171213304,0.215880316853646,0.205146704454081,0.203078537908732,0.210259722201608,0.250431600915088,0.269844234173355,0.28094069674614,0.300591561963005,0.323686581142837,0.309517456288249,0.344133955088936,0.354334003752893,0.353179922426892,0.281348016126472,0.296059361779211,0.298301377240436,0.318509865144894,0.3241363661579,0.335748215236085,0.333775663982536,0.329938271370249,0.300777049911562,0.312622821688651,0.292931370310911,0.29423402221567,0.271989750632905,0.260026295547614,0.254606577026813,0.268754629716325,0.274467849529551,0.234327139710972,0.240724779562764,0.270832245819052,0.216423453051881,0.245044873253855,0.257424554520228,0.258234200448186
"N2O","som","1A1a_Electricity-autoproducer","ktN2O",3.07191835887924e-06,2.98055234904473e-06,4.92892858913449e-06,5.60677731455574e-06,6.48602193888379e-06,1.20636293714182e-05,0.000184372912899921,0.000266372911928986,0.000183792070086955,0.000149658580601981,0.00037196311127732,0.000160928308156978,0.000470217625592645,0.000640706944399156,0.00055770951085266,0.000669499060346404,0.000772267985107905,0.000620124572242469,0.000625806406812142,0.00046125437321418,0.000514816719234663,0.000604964365314641,0.000606765588208675,0.00064726918767577,0.000667395462248058,0.00067467347599695,0.00080462121766574,0.000918265922078167,0.0010721127949657,0.00114584010692995,0.00144471857568889,0.00149498761743054,0.00155871921955668,0.00158145782604151,0.00155245605395027,0.00149065424239616,0.00152429397058319,0.00146498294868868,0.00147192414357606,0.00145892395272797,0.00147407120345631,0.00146859888619398,0.00135113442686276,0.00157855593894077,0.00177195495002834,0.00160733261950656,0.00170692202479331,0.0018265683758067,0.0020114170897182,0.00182475898910553,0.00185777146026221,0.00174442714233041,0.0018262272736145,0.00181237454153231
"N2O","som","1A1a_Electricity-public","ktN2O",5.11986393146538e-06,4.9675872484079e-06,7.39339288370173e-06,8.41016597183361e-06,8.10752742360475e-06,1.93018069942691e-05,0.000290050070293777,0.000421476126469914,0.000289136305380698,0.000240149815384574,0.000597395299930241,0.000257688999770352,0.000756437049866429,0.00102722037281386,0.000895632022354518,0.00107446434562911,0.00123847584708549,0.000990023439895874,0.000997546110003968,0.000733929610418143,0,0,0,0,0,0,0,0,0,0,0.000463086084801058,0.00051490288163719,0.000701380170442491,0.000699614849505057,0.000729712076345529,0.000817346594483978,0.00120811084537512,0.00121028850903242,0.0011499585732236,0.00118863082485808,0.00125819374639807,0.000980017052147264,0.00100923294646156,0.000951150502508835,0.000959549583296178,0.00113479990177868,0.00108287388148757,0.0011856441299804,0.00124622448698669,0.00131329559652938,0.0013024776756354,0.001301395883546,0.00140632971621762,0.00137972146327781
