"em","country","fuel","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023"
"N2O","bwa","diesel_oil","ktN2O",0,0.00299287039854335,0.00308713208844549,0.00447670793498123,0.00530270932058465,0.00539033340778871,0.00485228822733494,0.00456036881301429,0.00614363917479754,0.00758790963602952,0.00881566500228715,0.00863537762786777,0.00880157234703333,0.00864291817937044,0.0085904458218811,0.00845612513768494,0.0100515947140241,0.0100209697119307,0.0113581143075808,0.0127810803785653,0.0153997666764834,0.0154465280614406,0.0169357851248913,0.0144345044073492,0.0130717695197166,0.016737556419793,0.0169512149654735,0.0196565908169929,0.021292650746769,0.0234533543831063,0.0209185257970194,0.0250792839972547,0.0103419926485199,0.0102158399044757,0.00607565499562133,0.011308587222599,0.0115541523560403,0.0151494236899004,0.0161979871936471,0.0143459332751369,0.0159081179115484,0.0180918533370174,0.0329618069788011,0.0424067942540524,0.0425926380130589,0.0421187725200691,0.0204035662577536,0.0210309005589779,0.0227223485779456,0.0194529995221725,0.0273619655369285,0.0348677161300352,0.0343931898592524,0.0346428681885391
"N2O","bwa","hard_coal","ktN2O",0,0,0.00026511126869137,0.000662778171728425,0.00109337133680209,0.00235250809871956,0.00742169787969294,0.00972880445212009,0.0103955520261117,0.0117543181603383,0.0122814218816571,0.0133333382397166,0.0143974691880122,0.0140650877515821,0.013893651751805,0.0154172870155209,0.0172770352986237,0.0176091332063206,0.0208602903569535,0.0224900761538395,0.0270131060046653,0.0261818099362238,0.0300297374206284,0.0297288354358328,0.0303330865010692,0.0302618193439142,0.0259348623740423,0.0265354564392837,0.0342920092454666,0.0340318544932382,0.0344986507518474,0.0301737006221063,0.0309342624831833,0.0278156072953414,0.0295641943883646,0.0337545066939844,0.028331282004875,0.0291983294724573,0.026281380167401,0.0237685557161315,0.0101926939684811,0.0172552500882692,0.11217806614094,0.674175602662825,1.85700804507646,1.92861930323394,2.13144110941948,2.52057120480412,2.81769907568223,2.39717888958557,1.7043186300343,1.85442805092869,1.96892720193418,1.99273946970134
"N2O","bwa","heavy_oil","ktN2O",0,0.000166347207899388,0.000193694515247513,0.000248389129943763,0.000685946047513763,0.000713293354861888,0.000385125666684388,0.000193694515247513,0.000330431051988138,0.000412472974032513,0.000385125666684388,0.000795335276906263,0.000330431051988138,0.000166347207899388,0.0001093892293925,8.2041922044375e-05,0.0001093892293925,0.000136736536740625,0.000932071813646888,0.0009388619050788,0.000941125268889438,5.47633265237578e-05,0.00177664026952576,0.00159887938564361,8.20913303782796e-05,0.000117513307109376,0.000117352090998322,0.000162704778936358,7.81987149355538e-05,0.000153801350885328,0.000154252522029725,6.2790393849584e-05,8.0650943865353e-05,7.71009452358403e-05,5.92298911245787e-05,8.8777771599592e-05,0.000108470443754507,0.000438406277507997,0.000267553299203906,0.000237892178993947,0.000242484939586765,0.00024529584006577,0.000248255298232705,0.000277660917548656,0.000276138253711471,0.000276138253711471,0.000276138253711471,0.000303752079082618,0.000303752079082618,0.000303752079082618,0.000303752079082618,0.000331365904453765,0.000331365904453765,0.000314849223857939
"N2O","bwa","light_oil","ktN2O",0,0.00122011917971534,0.00136471149872321,0.00139430161658011,0.00197267089261161,0.00226185553062735,0.00269563248765097,0.00312940944467459,0.00356318640169821,0.00399696335872183,0.00515370191078481,0.00587666350582418,0.00659962510086354,0.00749676913276768,0.00836432304681492,0.00926146707871906,0.0107115906607364,0.0126504710435525,0.0137217975123214,0.0159236306855731,0.0187300649824365,0.0223434559717059,0.0269770098734624,0.0259975506158213,0.0254553742762797,0.0302208978297973,0.0289766063940568,0.0283553678049947,0.0298534042956164,0.0319860599847353,0.0361761554961575,0.0382377047301989,0.0372139299345722,0.0399092136180652,0.0443526928021981,0.0459691370837173,0.0492229037074163,0.05213283907453,0.0654260730787681,0.0611361437606695,0.0651168837692825,0.0716376121954011,0.0744842704691177,0.0734902381807687,0.0759343772475885,0.0792201460241267,0.073931651472786,0.0755788467513139,0.0776520413281747,0.0776796551535458,0.0725923515932503,0.0763111698427001,0.0797759608279216,0.0771342453099654
"N2O","bwa","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","bwa","process","ktN2O",3.16119838334985,3.2709782741463,3.71856997250115,3.7785382010893,4.10078019115654,4.44419452269279,4.86914368419749,5.2256709310603,4.9171376387972,4.87898728978259,5.008133191517,5.10574976218315,5.14724034707907,4.96994711796872,4.80650926321164,4.57124509403556,4.47262908678604,4.4331902404927,4.76828801360412,5.05117813671608,5.49239442572432,4.86718559892152,4.45640676126649,4.06219991717611,4.52387252600957,5.57567978064675,5.00055774067829,5.11842840864849,5.19476267530544,5.47727141139659,5.5355451183261,5.33221625575918,4.43400014212793,4.35872890035756,4.46026737898304,4.71314902139782,4.74620761329024,4.68581544317867,4.90547275304083,5.48941729151582,5.9818107462001,5.56781722619342,5.16603505627006,5.0517576298805,4.21670678498659,4.12055675417145,3.74603751664859,2.91575072763618,3.10161737337885,2.78032624455416,2.84785697879462,2.94733274446846,2.94792911859721,2.95359912402187
"N2O","caf","biomass","ktN2O",0.118192536143751,0.120838238486773,0.123860025312232,0.125039188598417,0.125404297006919,0.129823428908677,0.132131982973596,0.135059397669641,0.137653424257705,0.140843117951615,0.144316295208159,0.147415449071046,0.152244586724738,0.156477065658633,0.161463435992102,0.166096475156421,0.17111463382233,0.174570472912315,0.177733719960477,0.180722831646179,0.183918784795868,0.189027614633856,0.188034816905484,0.185708818350859,0.168735184264498,0.174237973365002,0.149990221552981,0.151771661250133,0.151918936663411,0.118501633742076,0.117622530802924,0.116841539260131,0.116917465857806,0.11689564094117,0.117384056517131,0.119249429913832,0.118351635894391,0.129862650700396,0.12835468886138,0.128675328226897,0.130280832340878,0.128437901658747,0.126674397761554,0.126477307769033,0.126550872838701,0.125802068368201,0.125680564987957,0.124792054301441,0.124338965375561,0.123759695676428,0.123120902822061,0.122178203282436,0.121635298715379,0.121635298715379
"N2O","caf","brown_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","caf","coal_coke","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","caf","diesel_oil","ktN2O",0.000542548305740966,0.000495336405772664,0.00043242854274579,0.000445253520615717,0.000339910173972689,0.000314500426842411,0.000388457045297873,0.000364624024454321,0.00038755785383513,0.000275798491282685,0.000269138387596707,0.000330398678123861,0.000397677886156231,0.000402694515729808,0.000419156745734552,0.000466178539009243,0.00041306928983744,0.000613790074951552,0.000501495285729916,0.000552836683700794,0.000351977024283706,0.000365944001001585,0.000382661764630991,0.000395199648366079,0.000397635595581429,0.000394659749495181,0.000395266372944534,0.000370525589289294,0.000392715908780625,0.000305372046287144,0.000354478949847128,0.000366218882741323,0.000398680013029576,0.000368200308681161,0.000418508502742056,0.000449466706579554,0.000564004784275272,0.00063002445887736,0.000572116638067776,0.000845669427029556,0.00109197873487277,0.00122387163672133,0.0015057875007591,0.00159273937513068,0.00203898029445418,0.00199433373668712,0.00259811001463215,0.00289461965089126,0.00310432589211757,0.00409373931425343,0.0045267417558261,0.00460242088160535,0.00467405564617166,0.00470798708461936
"N2O","caf","hard_coal","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","caf","heavy_oil","ktN2O",0.000570495147363544,0.000534742961283916,0.000477622389499943,0.00046943330853696,0.000337558689782377,0.000304593372204381,0.000359520229086326,0.000289345379133639,0.000363981449318913,0.000275530484774013,0.000252492472627317,0.000336733847803192,0.000246397510354541,0.000251932297048656,0.000255069123761465,0.000274770466512501,0.00028400763966399,0.000539845261746008,0.000488182026312726,0.000526107158881968,0.000254964255808789,0.000265387507272316,0.000257902075065558,0.000244529851404816,0.000239276090297184,0.000224571968029006,0.000207555953644027,0.000188007243324532,0.00020169220001173,0.000170149921430404,0.00018340074040965,0.000191669507895033,0.000184270499058568,0.000185932784393724,0.000177616156245933,0.000190008975020583,0.00024855427928851,0.000256174953161952,0.000210607577984091,0.00021414524380737,0.00025901508826103,0.000248085280056119,0.000223199621886415,0.000166374030714409,0.000205968518873142,0.000248644562135343,0.00024434952642736,0.000284101264379593,0.000318817521668722,0.000331699331045091,0.000336847997744874,0.000314289046534202,0.000331710230026229,0.000315176386785046
"N2O","caf","light_oil","ktN2O",0.00149521005851734,0.00117356355286738,0.00113085795063168,0.00119499876737263,0.000801337973381546,0.000846768295235186,0.0013162360290954,0.0014708812995765,0.00170487895229971,0.00112986082157821,0.00116960393419315,0.00167203995821572,0.00182835362596563,0.00179090780685728,0.00191587460481213,0.00194800543944648,0.00201048433365675,0.00257734190411372,0.00304898364745938,0.00336656460510003,0.00252675620931713,0.00266479370537777,0.00291264743719107,0.00319928313303896,0.00344617715811138,0.00370708863002987,0.00375529100765721,0.00334989352789347,0.00337703282696687,0.0034701382554247,0.00387724665612651,0.00400807988512459,0.00411953886402255,0.00379339050840334,0.00369032970737823,0.00383887475870227,0.00423313152455699,0.00418677995773909,0.00362432772741581,0.00360998629697484,0.0035750909846535,0.00399668158971812,0.00411150173127913,0.00256674457760293,0.00258848185262431,0.00267068137268876,0.00278890133456945,0.00312408257720764,0.00314472455950931,0.0037737551705638,0.00392301328734064,0.004453276513836,0.00468274145576223,0.0045334047955698
"N2O","caf","natural_gas","ktN2O",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N2O","caf","process","ktN2O",1.45956940727758,1.53822070112015,1.62974918087642,1.71973706065553,1.82571464846837,1.86277372172044,1.97518935827934,2.1393295462754,2.41619110236499,3.05749993225159,3.32080853599082,3.45595809881463,3.65927280819223,4.12456897485019,4.01980387131539,4.19537306223021,4.33122885366674,4.38934069999057,4.53223514485835,4.73453574807047,4.92865991066183,5.33367781564952,5.38977056861038,5.45061841795122,5.57296469775639,5.73188176886061,5.88250066195559,6.05432578708624,6.22882890263045,6.38451551548431,6.56950241580976,6.75829659582901,6.9550638809133,7.16004491407931,7.34695290330299,7.54623586508984,7.77269187456833,8.32798962928229,8.46552219158865,8.72524270728671,8.99394525022679,9.70314147264874,9.7907042300634,9.85230484634547,9.93175093323569,10.1211480798062,10.3417206665714,10.2003881831269,10.4109709261547,10.4179381856899,10.562696742355,10.6318280734477,10.8217807085765,10.8273830191117
"N2O","can","biomass","ktN2O",1.69326801599647,1.67350454603602,1.6299444669744,1.63732193050977,1.58632161078332,1.23875496011411,1.23420621747292,1.22430331775928,1.31358298042386,1.33318766890573,1.42981022631439,1.33853482019483,1.30842000108319,1.45377117653694,1.44762526586328,1.54500760578239,1.58188263897507,1.64811449565818,1.620582028057,1.57284321780567,1.63779217528999,1.61056537738168,1.67929359407957,1.6080451032507,1.75523464637213,1.78288246445239,1.80506162853345,1.80683235133813,1.85093220659829,1.92073515946834,1.90332605895302,1.84020760736384,1.92445556715341,1.84526705145088,2.00144255459322,1.97092829126355,1.94191019826194,1.87781216701734,1.76038827740909,1.59196906961616,1.6268472503979,1.67302041932262,1.70413786168454,1.7982233281099,1.75824769994457,1.82717188241781,1.85711318566289,2.02428115491502,2.16176372292123,2.17203581233885,1.99929777475319,2.16049594546741,2.14009203268237,2.14009203268237
"N2O","can","brown_coal","ktN2O",0.344089048058147,0.363311674720757,0.362769869299918,0.396742011664037,0.410990775842833,0.468666200442114,0.542101451049069,0.656899209706656,0.248731785147584,0.270102113468019,0.291149597116412,0.30369167968868,0.372002376526417,0.425753238596159,0.485683469302641,0.493082375824813,0.425301676771156,0.5109235121228,0.602742821300191,0.547016402174898,0.471715238914186,0.441082535876367,0.477125422247344,0.515336365547215,0.527085521258049,0.547325899372471,0.563579460278061,0.581214661242112,0.619575701398973,0.648213019144965,0.62148997936362,0.621135096541262,0.610989853384739,0.655446663619907,0.695202592759037,0.667775865863848,0.620619830784718,0.619165586346419,0.619089147815541,0.679634592750285,0.667898212529899,0.630109334875785,0.679949449769996,0.663875006304938,0.595287769023933,0.752395368993152,0.713910980680699,0.729250476733183,0.780232227158006,0.776513190873676,0.62874868144509,0.803540341793374,0.737199528613431,0.709619301233196
"N2O","can","coal_coke","ktN2O",0.0330469490837634,0.0283380805783031,0.0684274259694827,0.0815625639885056,0.0728226186564013,0.0717388982157621,0.0746284311622946,0.0672083959415693,0.0574695997143674,0.0590748957957743,0.0503706237099235,0.0473383977783771,0.043592706921761,0.0360299787160218,0.0392405708788356,0.0454120424806889,0.0403107682664402,0.0354235335297125,0.042058757332861,0.0412739459152843,0.0247215596536664,0.0410120157690351,0.0466772644147552,0.0499186378715784,0.0312627264458555,0.0437376319261995,0.0415645813309606,0.0391595828346938,0.0403566467411805,0.0377428064054336,0.037685275109792,0.0281828385203106,0.026128406031846,0.0255752710146945,0.030864508089391,0.0346039617889225,0.0328111354064156,0.0317079145519755,0.0274102111509395,0.0281852759246534,0.0281348018985047,0.0392629528748655,0.0340288841118983,0.0222578825489169,0.0221170341069269,0.0242600497587824,0.0298104307569534,0.0343372777255793,0.0386531398639251,0.0341909036091126,0.0303764689735629,0.0295496789941656,0.0327784820931131,0.0315521682469725
"N2O","can","diesel_oil","ktN2O",0.706304606306716,0.730260600168161,0.793287885802834,0.814666538452017,0.831399301748001,0.762630913686891,0.766483803660903,0.753895971036418,0.826542158921887,0.832612364040848,0.830142170446667,0.753326325400351,0.700113096760444,0.62586315490204,0.668672095334487,0.65939697791198,0.627842642879516,0.632090519529874,0.667712045461601,0.701457861202089,0.589306334803378,0.551272780886649,0.552320162710945,0.55054482162251,0.573878476654245,0.551071136365008,0.610059122730942,0.609205346041268,0.586896321559264,0.598910488921659,0.60311761818879,0.583588152167865,0.607411640928739,0.586722876913773,0.619122784296619,0.649683491254474,0.647189037189178,0.708206727484268,0.705791135944386,0.599529159506225,0.674576436124611,0.731147443840843,0.698260049410151,0.687394493551781,0.687071458320142,0.692034395272061,0.660731251231265,0.714390537940079,0.739666240088697,0.739548548910164,0.675172205431072,0.689918113185339,0.707584393954477,0.67400756671465
"N2O","can","hard_coal","ktN2O",0.575702422814944,0.588453137940219,0.529867681670626,0.483576643842547,0.469097132939718,0.448693186059139,0.502013621383798,0.555908215076984,0.99361932199113,1.08342014410701,1.22631041575694,1.30144614792201,1.4372215092778,1.50315676419396,1.64951282062221,1.59785771232571,1.50755384411922,1.70242228486509,1.82644523957409,1.87516678307746,1.75047109794332,1.78638722625367,1.84239803939276,1.77986339062174,1.82448752891657,1.85966231924599,1.90320725838367,2.01832525986614,2.19842851125876,2.38711452098764,2.6108163136762,2.52974138709744,2.50867407791743,2.68262345996098,2.55629569187553,2.61357595682966,2.50098181359416,2.76456189071875,2.64963961293245,2.26535468464606,2.25389917918001,2.1691207484522,2.08190694849599,2.146240706825,2.2253823324596,2.12549866551262,2.01839265306258,2.05446516315194,1.68702675248775,1.63751657188692,1.39013286532469,1.12017693370261,0.790401343323919,0.760830721091539
"N2O","can","heavy_oil","ktN2O",0.58811403501913,0.585278231869005,0.604600514643627,0.67030796938843,0.660711057902789,0.551508175608408,0.573020912970543,0.597193114227481,0.559943061610223,0.553498863006974,0.579357367996693,0.603050587540701,0.456116290664746,0.352985872380087,0.320425798315117,0.272285557248962,0.289320551608779,0.314529695642419,0.380397008006375,0.458702841277299,0.388532743341443,0.354631699519109,0.351197455824232,0.292843258209262,0.258856230476823,0.215609141709103,0.209343740773626,0.229061227437964,0.282759638586035,0.245936839530244,0.250253858266869,0.321069803652316,0.291170431827129,0.421915645378536,0.402907027473942,0.373286421538383,0.354968535788252,0.382656007095011,0.351683737746381,0.381469918078514,0.338952506815488,0.256327168386814,0.280614245424624,0.257178394903715,0.23834086915352,0.239030106810774,0.224165578649537,0.182172858955987,0.190698866093131,0.20417357404671,0.150179778506385,0.154009014927347,0.164842214626081,0.147254446956771
"N2O","can","light_oil","ktN2O",8.75505885874805,9.06284039351917,9.6903413835038,10.4845888053152,10.8876483793962,11.296693549343,11.605167714899,11.7588181336892,12.0911536563751,12.5374170540442,12.5918173797551,12.1979699442063,11.1905926014816,10.906331852222,10.8657891829587,10.8201848217398,10.8860805155273,11.1119069955519,11.4610370134935,11.6563453829335,11.4363276321018,11.8162365452342,12.5165412468397,12.996615202254,13.6251969698309,13.9882831497217,14.209170434536,14.6692495494511,14.7409709643928,13.865931919673,13.4677138456273,12.7046015263158,12.1057205362611,11.6345534943529,10.7762178386911,9.64202809602117,9.12522590336333,8.52781856981424,8.18261009203831,7.92783566310613,7.79326975360605,7.57828460411776,6.89067257836231,6.38178477647916,5.45556327068255,5.09603632548855,4.72172280055067,4.77752299532961,4.93701650182587,4.91115761743149,4.05505616071462,4.22820446047906,4.40157857293392,4.46963354091194
"N2O","can","natural_gas","ktN2O",0.188090776097633,0.198275466916326,0.25119865346379,0.302036626413935,0.263425755329018,0.283387280679751,0.263237062341113,0.25988783082666,0.230284255625762,0.305871226590263,0.284330917808623,0.268710375091052,0.258496669621148,0.244568062642069,0.261294102604601,0.2783818529406,0.266100298819239,0.280899397464434,0.320652016024961,0.396141430331058,0.355183736078908,0.365554667172371,0.437120063613875,0.503101178181921,0.469560337359122,0.621857214416771,0.668652133887913,0.751021841813098,0.751000967898509,0.809565877953155,1.0118749995232,1.03474198229526,1.12096938918034,1.09518816214699,1.0202843926917,0.995027983367967,1.04053804610967,1.0181037704963,1.04199131660242,1.05944998164836,1.14846677150792,1.30936269600508,1.42049496213335,1.31777851054117,1.35745893665402,1.48347741101361,1.28944543528116,1.25665635698469,1.59449090940022,1.63687549221184,1.72737760571159,1.86807531174917,1.96357235146282,1.91462696632864
"N2O","can","process","ktN2O",54.2818867495381,56.360815190143,59.4913952053001,69.9611861959243,74.7216534360127,66.6532588297406,71.2405431962266,82.5176485199899,91.0807164932875,86.5785045105155,82.9152330680517,76.6651321993272,78.0953047662403,103.885206158582,100.621902726283,81.8743572641748,70.7625254297813,77.0825480429604,79.2260474800238,91.7195458714345,115.897738405676,115.70918790529,117.865037461943,117.093218446847,125.1689009065,128.514746074309,133.640352359299,128.268644559919,112.980425897367,104.648710960594,100.268537953466,100.0446502098,103.610255147502,103.611111875801,107.940923007279,111.304296980382,96.8170385217832,111.336354416516,108.99820325268,100.939685930524,101.056166244428,109.450293826252,115.186793843845,108.286819784324,109.65686310905,110.418859812498,108.340038538105,108.995367910333,115.820602461013,111.484532285451,120.368752379231,116.283859491931,115.050968280623,115.17375191652
