"em","country","units","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022"
"CH4","lbr","ktCH4",22.7795613664938,23.5717489277693,24.4127174384966,25.1922263949669,26.0347935615451,26.8453393295116,27.7181467423699,28.6213763929049,29.302380178119,30.3925027884604,31.4357229714229,32.7029175339361,33.8114536967976,35.4151599687704,36.4529393074053,37.3636091364525,38.0236190452603,38.3785825472061,38.4051523265433,38.4022236692736,39.8412248903549,38.6873497446465,37.1956077891701,34.5179670300601,33.0151354121933,33.602320427004,35.2280427414579,38.8447782901965,42.7015282389807,47.9115193147927,51.9523259834253,53.2978855774767,54.9914307786946,56.0209147043109,58.2631033946572,61.0036927428729,65.3651389600706,66.6652647264456,69.7032388782088,73.5010532383437,76.7396202319755,79.5553032262545,82.4157633247145,84.9300387533185,87.8669069189379,87.9721991861077,88.4222357448769,87.5260412069489,87.7273442961821,89.5736582508892,91.03403624644,92.4885016182662,93.3854299846831
"CH4","lby","ktCH4",6707.53312621994,5535.04734591281,4509.75205987415,4340.6504024785,3044.62373976366,2947.486038774,3832.33937498745,4024.7938848096,3852.38327114969,4045.08361953949,3543.22912288395,2366.64710459811,2212.5438651505,2097.86736335429,2094.75107348928,2025.58447741811,1993.42629958827,1928.4926538104,2027.15279015554,2059.05134056617,2482.30050286652,2745.95112889643,2595.61806738673,2450.76994777365,2460.29586747324,2487.19880655372,2470.97032218776,2446.43044846367,2520.64725159927,2238.23559710677,2320.45109404886,2262.69167668718,2236.71185631204,2407.68331739588,2687.92448068488,2786.91114412931,2873.11794942363,2897.09608029808,2835.49934016492,2608.40588498819,2684.90745928448,906.269466543611,2304.22862405066,1624.87788090423,873.625842735278,754.966740028133,717.315824880563,1405.50241087626,1707.56097266159,1870.75171675222,986.734172753315,1796.69886112659,1782.39264024362
"CH4","lca","ktCH4",2.02932872524147,2.12053341611376,2.12153896103718,2.13639710191843,2.14746881578565,2.17519061089163,2.23544360463473,2.30242827769582,2.37272909175869,2.44904989442642,2.52020207751192,2.59577244019981,2.67238415157842,2.7519063577242,2.83754102356198,2.88585926284096,2.93667113240697,2.98054376201676,3.0273381068702,3.07123385074294,3.15431196444455,3.17775175950099,3.2112590416614,3.2300719311457,3.25491138349738,3.27981497441623,3.30392123436113,3.32505636111651,3.35509513492754,3.37489937713291,3.26099211829015,3.225045094656,3.20295114746653,3.16767581208657,3.15009240399709,3.10359135665544,3.07163437700323,3.05147144408968,3.03156168127942,3.01131692806164,2.9830794369974,3.06959114668543,3.09273714765278,3.11159698360792,3.16697457359707,3.16406593297404,3.16811570363552,3.18674612190141,3.18789928882664,3.18705222539465,3.17358159941683,3.18502370058724,3.20385300029624
"CH4","lie","ktCH4",0.000388634320342683,0.000405119807943673,0.000416912237871477,0.000424508323421033,0.00043393615522261,0.000443582099795358,0.000456510101377245,0.000470009757963432,0.000486023871383347,0.000504345229621657,0.000521143344492009,0.000538825494842941,0.000555512119968136,0.000573312016378004,0.000591595858594014,0.000613464649211409,0.000637683471888922,0.000660683276468981,0.00068119351981624,0.000698281980637606,0.000716251721822683,0.000732216688443145,0.000745920459026165,0.000760955943058114,0.000777131579461643,0.000795749096024829,0.000815749158194413,0.000836060064144479,0.000854820820982008,0.000872675758227384,0.000889120291834451,0.000904213650661857,0.000916409580991128,0.0009274633196449,0.00093539502841954,0.000939896630327099,0.000938094502743608,0.000928489103559115,0.000917931766552417,0.000904795376503956,0.000891835157947623,0.000877437739019569,0.000862551114462341,0.000847404571020859,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165,0.000832294542723165
"CH4","lka","ktCH4",327.429592512196,335.85106030083,334.140049378452,340.983420450916,360.095961559213,349.638079104987,361.154764416483,372.814514717366,378.240656388259,381.602646249129,390.223483733284,401.88845712372,393.910009164763,402.367544744875,423.394978151592,425.963683689841,427.266805120295,418.780655125768,434.358097162033,425.287523973512,442.729760107626,426.302415107671,435.70671001192,445.068208091272,457.762118782949,458.681464392692,436.308400970584,438.731912783217,408.715875665009,421.877380408072,420.939941173731,415.160873131937,419.05749301135,432.986566250501,419.11018945537,445.799356936685,448.834982868493,443.716430617312,475.422548878386,463.537420060254,488.309533516046,481.489079519967,485.993743950615,496.00960471199,459.560730799305,498.613584073772,481.248950768066,445.465476041212,478.556132686317,470.610114023255,486.750324967158,489.001153610923,491.145932457933
"CH4","lso","ktCH4",46.4811250220032,44.5964609024886,44.0210772253709,43.8745303725113,45.1403069388721,46.290291324474,45.8984123902298,42.5433027165015,43.0128786661351,44.8038460502738,47.6957257495901,48.4350091216951,49.906714101881,49.02059298137,48.9774843281103,50.9359095003163,51.6520095322077,57.6063574713982,57.2372766379995,55.154939762111,53.5140244913156,54.3704482351802,58.474228465054,57.5188981594574,56.1181618597403,55.2285054087466,53.0141726875921,55.2723088321578,49.7038081648105,64.0780785848821,62.4485735878385,62.8208443744504,59.2775049296059,60.1735170605386,59.7534991520116,63.9530150512551,62.0928535387465,62.864985596944,62.6875303909204,63.07160742672,62.8540891441075,63.3666589033221,64.1083103255376,61.6125791193355,61.241701373538,60.044508844196,59.1353461616516,62.4182811180982,58.3570041527542,55.3252110162301,59.0427224376621,59.2474825589541,59.4753904978002
"CH4","ltu","ktCH4",211.064690129378,219.486164988491,225.186425624218,228.245859390643,233.557064698738,238.850948360238,240.139295126001,240.71014675164,244.76767013905,247.895150816561,250.780880994512,251.559747877579,253.83900152817,256.992621187139,261.459610867473,263.721439667379,264.505786887176,267.101859878735,265.319211504887,270.430186066446,270.704220534077,263.302766934741,225.526912924192,190.050003356388,172.215339335165,163.575342006591,159.909811493719,158.938663817534,154.285909856753,146.966858989919,143.526301143869,141.74608393194,150.265403211622,149.515844328076,150.589322606737,152.185017200484,153.311182083686,155.972591733104,157.828793875922,153.982734047321,156.122685633424,151.054406198848,152.327916765681,147.735163786781,149.016526729846,148.504648222164,131.847328731037,126.889028037109,125.369846924664,122.872131201536,115.166282942724,111.891636035513,105.696039398184
"CH4","lux","ktCH4",5.91853824864999,6.08604547401605,6.26931764313442,6.59509873455738,6.78927174633838,6.62878888306646,6.89524925753901,7.01324998170682,7.31034907673926,7.45031608231869,7.44281645510215,7.26812995660249,7.16372821349575,7.08765646433837,7.24917104722307,7.36836447882148,7.36141439504083,7.41745737959588,7.48456966294709,7.72958989443307,7.78528090297706,8.14649953017548,8.2549310935207,9.69901246988173,9.34103093616825,8.90290583073868,8.53507630946989,8.29911368707501,8.02957344286628,7.85580530861487,25.4521140912721,24.9454403569704,24.5861166622024,23.9226542029863,23.4861721187001,23.1346714130223,23.0335893876212,23.3570655324405,23.2719989502662,23.2382329108038,24.3075706150772,22.8695048668901,22.0884638213587,22.2689510980108,22.2691497202492,21.5218741774726,22.2377307409599,22.3674806779443,21.9887399566092,21.9641501097577,20.8172640784509,20.7936010970351,20.743975482631
"CH4","lva","ktCH4",115.137449148215,119.448390973046,121.99290014719,123.427737094139,125.693000281709,127.988684647748,128.419771016305,128.158897597288,129.707947042537,130.733146820972,131.871929468298,132.042725316887,132.958238438668,134.347823349056,136.54311229474,137.637521536087,138.131078409023,138.855165983913,139.299455265598,142.442890981206,141.684431236499,139.001521671915,119.18817986514,91.2145895773371,84.7281275600231,82.9238280584864,80.5216749829621,79.2385940727101,76.3908752489215,70.2616528049494,69.3969971032598,72.907173553293,72.5643172335148,72.9260755028325,75.1091846177428,80.6864500096004,82.4238548080153,87.7681448680459,79.2666660684828,80.92988325086,78.853195808624,80.4764686827072,83.9140130629747,85.3584777039477,86.6444240371421,84.0382683231039,85.7153549609224,87.675412899215,84.2845845528064,83.9691178014035,82.2954657253928,82.958223475067,80.7183479483533
"CH4","mac","ktCH4",1.72731385361759,1.78083022656886,1.71126786324516,1.68594505648588,1.66638621375045,1.64699339871871,1.6220803168254,1.60592949405483,1.60295118818078,1.62686386559695,1.67276355179678,1.69681822952663,1.73733086983479,1.80237806117767,1.85811678830323,1.92066441952328,1.96977201013388,2.04963866311757,2.11965356749901,2.19150523333144,2.28745717283541,2.37076109321604,2.4290996066999,2.46620858963747,2.54192168112174,2.61060398259111,2.59959898611149,2.67603988875107,2.71105941443248,2.73711656738738,2.74990008538762,2.81027854628748,2.86386829316094,2.96753737318428,3.06536205397334,3.12739609177113,3.18932611758211,3.25328918960244,3.26745655175387,3.35280217031812,3.41445441597652,3.51487962477756,3.58466455227259,3.66321518045472,3.74287632896252,3.8046137707843,3.83893399645514,3.9127466937941,3.95866132374485,4.01275746998355,4.05034485710986,4.10187010605565,4.14995508019402
